Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maintenance,,,,2020-02-26 17:31:44,2020-02-26 17:32:27,43.440s,FAILED
,,,,,,,
Test Cases/Maintenance 1,,,,2020-02-26 17:31:44,2020-02-26 17:32:06,22.083s,FAILED
"navigateToUrl(""https://twitter.com"")",,,,2020-02-26 17:31:44,2020-02-26 17:31:45,0.577s,FAILED
delay(5),,,,2020-02-26 17:31:45,2020-02-26 17:31:50,5.064s,PASSED
"click(findTestObject(""Maintenance/Halaman Awal/div_Log in""))",,,,2020-02-26 17:31:50,2020-02-26 17:31:50,0.198s,FAILED
"setText(findTestObject(""Maintenance/Halaman Login/input_Phone email or username_sessionusername_or_email""), ""Maahkinderjoy"")",,,,2020-02-26 17:31:50,2020-02-26 17:31:50,0.172s,FAILED
"setText(findTestObject(""Maintenance/Halaman Login/input_Password_sessionpassword""), ""alamsyah333"")",,,,2020-02-26 17:31:50,2020-02-26 17:31:51,0.184s,FAILED
"click(findTestObject(""Maintenance/Halaman Login/div_Log in""))",,,,2020-02-26 17:31:51,2020-02-26 17:31:51,0.107s,FAILED
delay(10),,,,2020-02-26 17:31:51,2020-02-26 17:32:01,10.005s,PASSED
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",,,,2020-02-26 17:32:01,2020-02-26 17:32:01,0.137s,FAILED
delay(5),,,,2020-02-26 17:32:01,2020-02-26 17:32:06,5.007s,PASSED
"click(findTestObject(""Maintenance/Keluar/div_Keluar""))",,,,2020-02-26 17:32:06,2020-02-26 17:32:06,0.108s,FAILED
closeBrowser(),,,,2020-02-26 17:32:06,2020-02-26 17:32:06,0.030s,PASSED
,,,,,,,
Test Cases/Maintenance 2,,,,2020-02-26 17:32:06,2020-02-26 17:32:27,20.946s,FAILED
"navigateToUrl(""https://twitter.com"")",,,,2020-02-26 17:32:06,2020-02-26 17:32:06,0.026s,FAILED
delay(5),,,,2020-02-26 17:32:06,2020-02-26 17:32:11,5.007s,PASSED
"click(findTestObject(""Maintenance/Halaman Awal/div_Log in""))",,,,2020-02-26 17:32:11,2020-02-26 17:32:11,0.076s,FAILED
"setText(findTestObject(""Maintenance/Halaman Login/input_Phone email or username_sessionusername_or_email""), ""SupestarW"")",,,,2020-02-26 17:32:11,2020-02-26 17:32:12,0.135s,FAILED
"setText(findTestObject(""Maintenance/Halaman Login/input_Password_sessionpassword""), ""alamsyah333"")",,,,2020-02-26 17:32:12,2020-02-26 17:32:12,0.182s,FAILED
"click(findTestObject(""Maintenance/Halaman Login/div_Log in""))",,,,2020-02-26 17:32:12,2020-02-26 17:32:12,0.083s,FAILED
delay(10),,,,2020-02-26 17:32:12,2020-02-26 17:32:22,10.006s,PASSED
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",,,,2020-02-26 17:32:22,2020-02-26 17:32:22,0.067s,FAILED
delay(5),,,,2020-02-26 17:32:22,2020-02-26 17:32:27,5.006s,PASSED
"click(findTestObject(""Maintenance/Keluar/div_Keluar""))",,,,2020-02-26 17:32:27,2020-02-26 17:32:27,0.067s,FAILED
closeBrowser(),,,,2020-02-26 17:32:27,2020-02-26 17:32:27,0.007s,PASSED
