Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maintenance,Firefox 73.0,,,2020-02-26 17:47:55,2020-02-26 17:49:33,1m - 37.646s,PASSED
,,,,,,,
Test Cases/Maintenance 1,Firefox 73.0,,,2020-02-26 17:47:56,2020-02-26 17:48:44,48.336s,PASSED
"openBrowser("""")",Firefox 73.0,,,2020-02-26 17:47:56,2020-02-26 17:48:03,7.164s,PASSED
"navigateToUrl(""https://twitter.com"")",Firefox 73.0,,,2020-02-26 17:48:03,2020-02-26 17:48:07,3.366s,PASSED
delay(5),Firefox 73.0,,,2020-02-26 17:48:07,2020-02-26 17:48:12,5.064s,PASSED
"click(findTestObject(""Maintenance/Halaman Awal/div_Log in""))",Firefox 73.0,,,2020-02-26 17:48:12,2020-02-26 17:48:12,0.707s,PASSED
"setText(findTestObject(""Maintenance/Halaman Login/input_Phone email or username_sessionusername_or_email""), ""Maahkinderjoy"")",Firefox 73.0,,,2020-02-26 17:48:12,2020-02-26 17:48:13,0.943s,PASSED
"setText(findTestObject(""Maintenance/Halaman Login/input_Password_sessionpassword""), ""alamsyah333"")",Firefox 73.0,,,2020-02-26 17:48:13,2020-02-26 17:48:14,0.611s,PASSED
"click(findTestObject(""Maintenance/Halaman Login/div_Log in""))",Firefox 73.0,,,2020-02-26 17:48:14,2020-02-26 17:48:17,2.826s,PASSED
delay(10),Firefox 73.0,,,2020-02-26 17:48:17,2020-02-26 17:48:27,10.006s,PASSED
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",Firefox 73.0,,,2020-02-26 17:48:27,2020-02-26 17:48:30,3.395s,PASSED
delay(5),Firefox 73.0,,,2020-02-26 17:48:30,2020-02-26 17:48:35,5.004s,PASSED
"click(findTestObject(""Maintenance/Keluar/div_Keluar""))",Firefox 73.0,,,2020-02-26 17:48:35,2020-02-26 17:48:36,0.910s,PASSED
closeBrowser(),Firefox 73.0,,,2020-02-26 17:48:36,2020-02-26 17:48:44,7.880s,PASSED
,,,,,,,
Test Cases/Maintenance 2,Firefox 73.0,,,2020-02-26 17:48:44,2020-02-26 17:49:33,48.932s,PASSED
"openBrowser("""")",Firefox 73.0,,,2020-02-26 17:48:44,2020-02-26 17:48:50,5.542s,PASSED
"navigateToUrl(""https://twitter.com"")",Firefox 73.0,,,2020-02-26 17:48:50,2020-02-26 17:48:54,3.847s,PASSED
delay(5),Firefox 73.0,,,2020-02-26 17:48:54,2020-02-26 17:48:59,5.004s,PASSED
"click(findTestObject(""Maintenance/Halaman Awal/div_Log in""))",Firefox 73.0,,,2020-02-26 17:48:59,2020-02-26 17:48:59,0.682s,PASSED
"setText(findTestObject(""Maintenance/Halaman Login/input_Phone email or username_sessionusername_or_email""), ""mizinkoma"")",Firefox 73.0,,,2020-02-26 17:48:59,2020-02-26 17:49:00,0.822s,PASSED
"setText(findTestObject(""Maintenance/Halaman Login/input_Password_sessionpassword""), ""indraramdan123"")",Firefox 73.0,,,2020-02-26 17:49:00,2020-02-26 17:49:01,0.625s,PASSED
"click(findTestObject(""Maintenance/Halaman Login/div_Log in""))",Firefox 73.0,,,2020-02-26 17:49:01,2020-02-26 17:49:04,2.822s,PASSED
delay(10),Firefox 73.0,,,2020-02-26 17:49:04,2020-02-26 17:49:14,10.003s,PASSED
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",Firefox 73.0,,,2020-02-26 17:49:14,2020-02-26 17:49:19,5.011s,PASSED
delay(5),Firefox 73.0,,,2020-02-26 17:49:19,2020-02-26 17:49:24,5.005s,PASSED
"click(findTestObject(""Maintenance/Keluar/div_Keluar""))",Firefox 73.0,,,2020-02-26 17:49:24,2020-02-26 17:49:25,1.345s,PASSED
closeBrowser(),Firefox 73.0,,,2020-02-26 17:49:25,2020-02-26 17:49:33,7.978s,PASSED
