Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maintenance,Firefox 73.0,,,2020-02-27 10:54:00,2020-02-27 11:01:51,7m - 51.941s,PASSED
,,,,,,,
Test Cases/Maintenance 1,Firefox 73.0,,,2020-02-27 10:54:00,2020-02-27 10:54:51,51.395s,PASSED
"openBrowser("""")",Firefox 73.0,,,2020-02-27 10:54:01,2020-02-27 10:54:10,9.544s,PASSED
"navigateToUrl(""https://twitter.com"")",Firefox 73.0,,,2020-02-27 10:54:10,2020-02-27 10:54:15,4.899s,PASSED
delay(5),Firefox 73.0,,,2020-02-27 10:54:15,2020-02-27 10:54:20,5.034s,PASSED
"click(findTestObject(""Maintenance/Halaman Awal/div_Log in""))",Firefox 73.0,,,2020-02-27 10:54:20,2020-02-27 10:54:21,1.198s,PASSED
"setText(findTestObject(""Maintenance/Halaman Login/input_Phone email or username_sessionusername_or_email""), Username)",Firefox 73.0,,,2020-02-27 10:54:21,2020-02-27 10:54:22,0.807s,PASSED
"setText(findTestObject(""Maintenance/Halaman Login/input_Password_sessionpassword""), Password)",Firefox 73.0,,,2020-02-27 10:54:22,2020-02-27 10:54:23,0.611s,PASSED
"click(findTestObject(""Maintenance/Halaman Login/div_Log in""))",Firefox 73.0,,,2020-02-27 10:54:23,2020-02-27 10:54:26,2.898s,PASSED
delay(10),Firefox 73.0,,,2020-02-27 10:54:26,2020-02-27 10:54:36,10.006s,PASSED
"scrollToPosition(0, 9)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.013s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.004s,NOT_RUN
"scrollToPosition(0, 99)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.004s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.006s,NOT_RUN
"scrollToPosition(0, 999)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
"scrollToPosition(0, 9999)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.004s,NOT_RUN
"scrollToPosition(0, 0)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.006s,NOT_RUN
"setText(findTestObject(""Maintenance/Search Mutualan""), ""mutualan rt"")",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Klik Span Mutualan RT""), STOP_ON_FAILURE)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
delay(20),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Klik Tweet Pertama Mutualan""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
"click(findTestObject(""Maintenance/Klik Retweet""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.003s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.005s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 1""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 2""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(20),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.005s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 3""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.004s,NOT_RUN
delay(15),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 4""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.003s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.003s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 5""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
delay(15),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Button Close""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Button Home""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.007s,NOT_RUN
"click(findTestObject(""Maintenance/Button Explore""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Show More Hastag""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.003s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"scrollToPosition(0, 9)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"scrollToPosition(0, 99)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.003s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
"scrollToPosition(0, 999)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"scrollToPosition(0, 9999)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"scrollToPosition(0, 0)",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.011s,NOT_RUN
"click(findTestObject(""Maintenance/Button Notifikasi""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
"click(findTestObject(""Maintenance/Notification Mention""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.003s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.003s,NOT_RUN
"click(findTestObject(""Maintenance/Button Message""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.003s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Button List""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/List Subscribed""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/List Member""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
"click(findTestObject(""Maintenance/Button Profile""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Tweet and Replies""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.006s,NOT_RUN
"click(findTestObject(""Maintenance/Profile - Media""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Profile - Likes""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.002s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Button Home""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Logout/div_Selengkapnya""))",Firefox 73.0,,,2020-02-27 10:54:36,2020-02-27 10:54:36,0.001s,NOT_RUN
